National personal identifier endonym kebab case	National personal identifier exonym kebab case	Country name endonym	Country name exonym English	Country ISO 3166-1 code	Personal identifier name endonym	Personal identifier exonym English	Wikipedia link	Description	Where to find it
alba-community-health-index	scotland-community-health-index	Alba	Scotland	GB-SCT	Community Health Index (CHI) Number	Community Health Index (CHI) Number	[National Health Service Central Register](https://en.wikipedia.org/wiki/National_Health_Service_Central_Register)	Ten-digit number identifying every person registered with NHS Scotland; encodes the date of birth (DDMMYY), two random digits, a sex digit (odd male, even female), and a Modulus-11 check digit.	Printed on the NHS Scotland medical card, prescriptions, GP correspondence, hospital appointment letters, and the NHS Inform person portal.
australia-individual-healthcare-identifier	australia-individual-healthcare-identifier	Australia	Australia	AU	Individual Healthcare Identifier (IHI)	Individual Healthcare Identifier (IHI)	[My Health Record](https://en.wikipedia.org/wiki/My_Health_Record)	Unique 16-digit number assigned by the Healthcare Identifiers Service to each person receiving healthcare in Australia, used to link records in My Health Record and other national digital health services.	Medicare online account, the My Health Record portal, hospital admission paperwork, and clinical correspondence.
belgique-numero-de-registre-national	belgium-numero-de-registre-national	Belgique / België / Belgien	Belgium	BE	Numéro de Registre National / Rijksregisternummer (NRN)	National Register Number (NRN)	[National identification number — Belgium](https://en.wikipedia.org/wiki/National_identification_number#Belgium)	Eleven digits where the first six are the date of birth (YYMMDD), the next three are a serial ordering number (odd for men, even for women), and the last two are a Modulus-97 check digit.	Belgian electronic identity card (eID), SIS social-security card, passport, residence permit, and tax/health correspondence.
bulgaria-edinen-grazhdanski-nomer	bulgaria-edinen-grazhdanski-nomer	България	Bulgaria	BG	Единен граждански номер (ЕГН) / Edinen grazhdanski nomer (EGN)	Uniform Civil Number (EGN)	[Unique citizenship number](https://en.wikipedia.org/wiki/Unique_citizenship_number)	Ten digits in the form YYMMDD-RRRGC: the first six encode the date of birth (with a month offset of +20 for 19th-century births and +40 for 21st-century births), three regional/serial digits, a gender digit (even for male, odd for female), and a weighted Modulus-10 check digit.	Bulgarian national identity card (Лична карта), passport, driving licence, and birth certificate.
cesko-cestovni-pas	czech-republic-passport-number	Česko	Czech Republic	CZ	Cestovní pas	Czech Passport Number	[Czech passport](https://en.wikipedia.org/wiki/Czech_passport)	Usually an eight-digit number (sometimes longer) printed on the data page of the biometric Czech passport issued by the Ministry of the Interior.	Czech passport (cestovní pas) issued by the Ministry of the Interior of the Czech Republic.
cesko-rodne-cislo	czech-republic-birth-number	Česko	Czech Republic	CZ	Rodné číslo (RČ)	Birth Number / National Identification Number	[National identification number — Czech Republic](https://en.wikipedia.org/wiki/National_identification_number#Czech_Republic)	Nine- or ten-digit number in the form YYXXDD/SSSC: YY is the last two digits of the year of birth; XX is the month of birth (01–12 for men, 51–62 for women, with +70 used when serial numbers run out); DD is the day; SSS is a serial number; and C is a check digit (omitted for people born before 1 January 1954). A ten-digit number must be divisible by 11.	Birth certificate, national ID card (občanský průkaz), driving licence, and health-insurance card.
cymru-rhif-y-gwasanaeth-iechyd-gwladol	wales-national-health-service-number	Cymru	Wales	GB-CYM	Rhif y Gwasanaeth Iechyd Gwladol (Rhif GIG)	National Health Service (NHS) Number	[NHS number](https://en.wikipedia.org/wiki/NHS_number)	Ten-digit identifier in 3-3-4 format with a Modulus-11 check digit, shared with England and the Isle of Man and issued at birth or on first registration with a GP.	NHS Wales medical card, GP correspondence, prescriptions, hospital appointment letters, and the NHS Wales App.
cyprus-national-passport-number	cyprus-national-passport-number	Κύπρος / Kıbrıs	Cyprus	CY	Αριθμός Διαβατηρίου / Pasaport Numarası	Cyprus Passport Number	[Cypriot passport](https://en.wikipedia.org/wiki/Cypriot_passport)	Passports issued before 13 December 2010 use the letter 'E' followed by six digits (e.g. E123456); biometric passports issued after that date use the letter 'K' followed by eight digits (e.g. K12345678).	Cyprus passport issued by the Civil Registry Department of the Ministry of the Interior.
danmark-personnummer	denmark-personal-identification-number	Danmark	Denmark	DK	Personnummer (CPR-nummer)	Personal Identification Number (CPR)	[Personal identification number (Denmark)](https://en.wikipedia.org/wiki/Personal_identification_number_(Denmark))	Ten-digit code in the form DDMMYY-SSSC: the first six digits encode the date of birth, the next three are a serial number whose final digit encodes sex (odd for men, even for women), and the last is a Modulus-11 check digit (no longer mandatory for validation of new CPR numbers).	Danish health insurance card (sundhedskort), national ID, driving licence, passport, and most official correspondence.
deutschland-krankenversichertennummer	germany-health-insurance-number	Deutschland	Germany	DE	Krankenversichertennummer (KVNR)	Health Insurance Number (KVNR)	[Krankenversichertennummer](https://de.wikipedia.org/wiki/Krankenversichertennummer)	Lifelong federal health-insurance identifier: one random uppercase letter followed by eight random digits and a Luhn check digit, carried on the electronic health card (elektronische Gesundheitskarte, eGK).	German electronic health insurance card (eGK), insurer correspondence, and prescriptions.
eesti-isikukood	estonia-personal-identification-code	Eesti	Estonia	EE	Isikukood (IK)	Personal Identification Code (IK)	[National identification number — Estonia](https://en.wikipedia.org/wiki/National_identification_number#Estonia)	Eleven digits in the form GYYMMDDSSSC: G encodes sex and century of birth (1–2 for the 19th century, 3–4 for the 20th, 5–6 for the 21st, with odd numbers male and even female); YYMMDD is the date of birth; SSS is a serial number; and C is a Modulus-11 check digit.	Estonian ID card (ID-kaart), passport, residence permit, driving licence, and digital signing services such as Smart-ID and Mobiil-ID.
ellada-dematerialised-securities-system	greece-dematerialised-securities-system	Ελλάδα	Greece	GR	Σύστημα Άυλων Τίτλων (ΣΑΤ)	Dematerialised Securities System (DSS) Investor Share Code	[Central Securities Depository](https://en.wikipedia.org/wiki/Central_Securities_Depository)	Ten-digit investor identifier linked to personal details (name, identity-card number, passport number, tax registration number); the investor share is the account record held in the DSS operated by the Hellenic Central Securities Depository (ATHEXCSD).	Account statements and confirmations issued by the Hellenic Central Securities Depository (ATHEXCSD) and by the investor's appointed operator (broker or bank).
