# SOUP register — IEC 62304 §5.3.3 / §8.1.2, ISO/IEC 27001 A.8 supply chain
#
# Every *direct* dependency of this crate must appear here with a purpose
# and a safety/security relevance note. `src/compliance/soup.rs` merges
# these annotations with the real dependency graph from Cargo.lock to
# produce the CycloneDX SBOM at GET /api/compliance/sbom, and its unit
# tests fail the build when a direct dependency is missing (or when an
# entry names a package that is no longer depended on).
#
# Scope note: this service is a **person identity registry**. It holds
# personal data and serves a FHIR `Patient` representation, but it is not
# a medical device: no output drives an individual's treatment, and no
# patient's clinical progress is tracked here (the qualification caveat
# in agents/share/compliance-for-healthcare.md §2.4). It therefore
# carries no IEC 62304 safety classification, and GET /api/compliance
# says so rather than leaving it inferred.
#
# "Safety relevance" below means relevance to the correctness and
# confidentiality of personal data, not to physical safety.
#
# Transitive dependencies are listed in the SBOM but are NOT individually
# annotated. Stating that boundary is more honest than implying we have
# reviewed several hundred crates.
#
# Format: name<TAB>purpose<TAB>safety and security relevance
# Blank lines and lines starting with '#' are ignored.
#
tokio	Async runtime.	Availability-relevant. Runtime failure means unavailability, not disclosure. Industry standard.
axum	HTTP server, extractors, routing, and response types.	SECURITY-RELEVANT. Header and path extraction feed the auth guard and the disclosure-audit context; a routing defect could reach a handler the guard believed it had covered.
tower	Middleware composition for the service stack.	Security-relevant. The blanket auth guard is a layer in this stack; ordering determines whether it runs before a handler.
tower-http	CORS, compression, and tracing layers.	Security-relevant. CORS configuration decides which origins may make credentialed calls to this API.
serde	Serialization framework for every wire type and stored payload.	Security-relevant. A mis-serialized payload could corrupt a stored person record or an audit snapshot.
serde_json	JSON encoding/decoding, and the canonical form the audit hash chain digests.	SECURITY-CRITICAL. Key ordering (BTreeMap; preserve_order disabled) is load-bearing for chain verification across a JSONB round-trip. A reordering would report untouched rows as tampered — a false accusation is as damaging as a missed one.
csv	CSV codec for bulk import/export (src/bulk/csv.rs).	SECURITY-RELEVANT. Parses attacker-supplied files and writes bulk exports of personal data. Row and byte caps (SEC-B2) bound the input; the export path is what a masking failure would leak through at scale.
arrow	In-memory columnar record batches for Parquet export (src/bulk/parquet_format.rs). Optional, behind this crate's `parquet` Cargo feature (off by default) — BLK-3.	SECURITY-RELEVANT when the feature is enabled. Builds the typed columns the Parquet writer serializes; this crate's own masking (apply_masking) runs before encoding, so a defect here cannot itself leak a field the read path would have redacted, but it does determine what a bulk export contains.
parquet	Parquet file writer/reader (arrow feature) for bulk export (src/bulk/parquet_format.rs). Optional, behind the `parquet` Cargo feature (off by default) — export-only, BLK-3.	SECURITY-RELEVANT when the feature is enabled. Serializes bulk exports of personal data to a columnar file; same export-path relevance as csv above. No import path exists for this format (§12 lean), so it carries no attacker-supplied-file parsing exposure the way csv's decode does.
aws-config	Loads AWS/S3-compatible credentials and region from the standard chain, for the optional S3 artifact backend (src/bulk/store.rs) — BLK-4.	Optional (`s3` feature); absent from a default build. Sources credentials only — it never holds a secret this crate mints. Deployments using the local filesystem backend do not compile it.
aws-sdk-s3	S3-compatible object storage for bulk import/export artifacts, including presigned short-lived download URLs (src/bulk/store.rs) — BLK-4.	SECURITY-RELEVANT and optional (`s3` feature). Chosen over hand-rolled SigV4 precisely because request signing cannot be verified in this repository's test environment without a live endpoint or the published AWS vectors; an unverified signing implementation that looks finished is the worse risk. Handles bulk export artifacts of personal data, so its correctness bounds who can read one.
aws-credential-types	Credential value types shared by aws-config and aws-sdk-s3.	Optional (`s3` feature). Type definitions only; pulled in explicitly so the credential surface is named in this register rather than arriving as an invisible transitive.
sea-orm	Async ORM and query builder over PostgreSQL.	SECURITY-CRITICAL. All persistence, including the audit trail, the erasure sweep, and record-level authorization reads. Query construction uses its typed builders, not string concatenation, which is what keeps SQL injection out of the search paths.
bigdecimal	Exact decimal values in the persistence layer (src/db/models.rs).	Not security-relevant. Arbitrary-precision arithmetic avoids float rounding in stored numerics; no identity or authorization decision depends on it.
loco-rs	Web application framework: boot, routing, config, background workers, model error types.	SECURITY-RELEVANT. Owns the boot sequence and the middleware stack, so a defect could bypass the auth/ABAC guard.
migration	This crate's own sea-orm-migration migrator (path dependency).	Security-relevant. Owns the schema, including the audit_logs compliance columns and entity_links. First-party code, not third-party SOUP.
tantivy	Embedded full-text search index over person records.	SECURITY-RELEVANT. Holds a searchable copy of personal data outside PostgreSQL, so it is a second place masking and retention must be honoured — an erased record still present in the index is a live disclosure. Query paths take length-capped input (SEC-M1).
tonic	gRPC transport for the (currently stubbed) RPC surface (main dependency, 0.12); also resolved, at 0.14, from the renamed dev-dependency `otlp-test-tonic = { package = "tonic" }` serving tests/otlp_collector/'s in-process OTLP collector (PRO-H9) — Cargo.lock carries both versions as separate `tonic` packages under this one register row.	Security-relevant when enabled. The stub in src/api/grpc/mod.rs defines no live service today; if it is completed it becomes a second API surface that must carry the same guard as REST. The 0.14 test-only resolution carries no production risk.
utoipa	OpenAPI 3 document generation from handler annotations.	Not security-relevant. Produces documentation; the served document names endpoints but discloses no record data.
utoipa-swagger-ui	Serves the Swagger UI assets.	Not security-relevant. Static documentation assets. The UI path is on the guard's public allow-list by design.
opentelemetry	Metrics and trace API (src/observability).	Security-relevant. Span and metric attributes must not carry personal data or credentials; that is enforced at call sites, not by this crate.
opentelemetry-otlp	OTLP exporter for traces and metrics.	SECURITY-RELEVANT. Ships telemetry off-box to a collector, so anything mistakenly placed in a span attribute leaves the trust boundary through it.
opentelemetry_sdk	Tracer/meter provider implementation and batching.	Security-relevant. Same disclosure surface as the exporter it feeds.
opentelemetry-semantic-conventions	Standard attribute-name constants.	Not security-relevant. Constants only.
tracing	Structured logging and spans, including the audit_checkpoint witness lines.	SECURITY-RELEVANT. The no-secrets-in-logs invariant is enforced at call sites, not by this crate. Checkpoint witness lines are emitted here, so a log pipeline that drops them silently removes the external-witness control.
tracing-subscriber	Log formatting, filtering, and the JSON layer.	Security-relevant. Misconfiguration could emit more detail than intended; log level is deployment-controlled.
tracing-opentelemetry	Bridges tracing spans into OpenTelemetry.	Security-relevant. Carries span fields across into exported telemetry, extending the log-hygiene requirement to the OTLP path.
uuid	Public record identifiers (pid) and EntityRef ids.	SECURITY-RELEVANT. v4 generation uses the OS RNG; a guessable pid would weaken the record-level authorization posture, since an id is the only thing standing between a caller and an object reference.
chrono	Timestamps and the microsecond truncation the audit chain depends on.	SECURITY-CRITICAL. Chain digests bind created_at as epoch microseconds; a precision change would break verification of every existing row.
time	Timestamps in the relay and bulk job paths.	Security-relevant. Second time crate alongside chrono, a wart worth removing; both feed timestamps that appear in audit and outbox rows.
